GenusSpecies,Genus,Species,Family,SubOrder,body_colors,body_colortypes,body_patterns,mate_guarding,flight_mode,territoriality,continents,aquatic_habitats,climates,ecozones,habitat_openness,citations,ISBN,DOI,sex_polymorphisms,sex_dimorphisms,geo_polymorphisms,body_lengths,forewing_lengths,hindwing_lengths,has_wing_pigment,wing_pigment_extent_discrete,wing_pigment_extent_continuous,wing_pigment_pattern,wing_pigment_symmetry,wing_pigment_dimorphism,wing_pigment_color,wing_pigment_placement,wing_pigment_color_type,female_has_wing_pigment,female_wing_pigment_extent_discrete,female_wing_pigment_extent_continuous,female_wing_pigment_placement,female_body_lengths,female_hindwing_lengths,female_forewing_lengths
Acanthagrion ascendens,Acanthagrion,ascendens,Coenagrionidae,Zygoptera,black,pigment,plain,NA,percher,NA,south america,stream,NA,neotropical,semi,Michalski (2015),9.78099E+12,NA,monomorphic,NA,NA,33,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion ascendens,Acanthagrion,ascendens,Coenagrionidae,Zygoptera,blue,NA,spotted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion ascendens,Acanthagrion,ascendens,Coenagrionidae,Zygoptera,green,NA,striped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion ascendens,Acanthagrion,ascendens,Coenagrionidae,Zygoptera,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion kennedii,Acanthagrion,kennedii,Coenagrionidae,Zygoptera,black,pigment,spotted,NA,percher,NA,south america,stream,NA,neotropical,NA,Michalski (2015),9.78099E+12,NA,males,NA,NA,29,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion kennedii,Acanthagrion,kennedii,Coenagrionidae,Zygoptera,blue,NA,striped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion kennedii,Acanthagrion,kennedii,Coenagrionidae,Zygoptera,green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion quadratum,Acanthagrion,quadratum,Coenagrionidae,Zygoptera,black,pigment,plain,NA,percher,territorial,north america,pond,Af,nearctic,closed,Abbott (2011),978-0-292-71449-6,NA,NA,weak,NA,31,NA,17,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion quadratum,Acanthagrion,quadratum,Coenagrionidae,Zygoptera,NA,NA,NA,NA,NA,NA,NA,wetland,Aw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion quadratum,Acanthagrion,quadratum,Coenagrionidae,Zygoptera,NA,NA,NA,NA,NA,NA,NA,NA,BSh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion quadratum,Acanthagrion,quadratum,Coenagrionidae,Zygoptera,NA,NA,NA,NA,NA,NA,NA,NA,Cfa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion quadratum,Acanthagrion,quadratum,Coenagrionidae,Zygoptera,NA,NA,NA,NA,NA,NA,NA,NA,Cwa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion quadratum,Acanthagrion,quadratum,Coenagrionidae,Zygoptera,blue,NA,striped,NA,NA,NA,NA,stream,Am,neotropical,open,Paulson (2009),978-0691122816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
